lon,lat,x_sea_water_velocity,y_sea_water_velocity
138.78876,37.834568,0.04070159,-0.018839581
138.79044,37.83395,0.04135605,-0.019298345
138.79213,37.833324,0.04124087,-0.019370824
138.79382,37.83271,0.041345853,-0.018052416
138.79552,37.832157,0.04187159,-0.015564646
138.79724,37.831707,0.043001104,-0.011030921
138.79906,37.831413,0.04604769,-0.005751612
138.80104,37.831295,0.053529043,-4.74E-05
138.80338,37.831352,0.06270747,0.004868386
138.80609,37.831543,0.07210414,0.007682798
138.80914,37.831787,0.07928947,0.007054862
138.81245,37.831993,0.08378577,0.005251426
138.81592,37.832146,0.08574567,0.003827495
138.8194,37.832253,0.08419833,0.00244481
138.82278,37.832325,0.08050548,0.001885208
138.82599,37.8324,0.07481022,0.003073047
138.82898,37.832535,0.070046306,0.006120816
138.8318,37.83276,0.06760301,0.008354449
138.83458,37.833046,0.0688193,0.009660111
138.83743,37.833424,0.07202541,0.014714303
138.84042,37.83399,0.07502534,0.021684848
138.84354,37.834793,0.07772697,0.029861493
138.84674,37.835865,0.079514466,0.038417537
138.85002,37.837223,0.081437774,0.047485173
138.85338,37.83891,0.0835426,0.059359513
138.85684,37.840984,0.08656515,0.07172097
138.86046,37.84344,0.09125221,0.08230595
138.86424,37.84622,0.09492207,0.09120256
138.86821,37.849262,0.09990637,0.098176286
138.87245,37.85251,0.11043486,0.1034347
138.87718,37.85594,0.124017894,0.10992466
138.88245,37.859596,0.1364453,0.11699729
138.88824,37.863426,0.15034431,0.119964935
138.89465,37.867287,0.16748326,0.11767519
138.90176,37.871037,0.18364292,0.11219855
138.90948,37.874588,0.19666155,0.105357
138.91766,37.877903,0.20500813,0.09694611
138.92607,37.88096,0.20639205,0.09010902
138.93446,37.883827,0.20289882,0.08573871
138.94273,37.886593,0.20070218,0.08465499
138.95091,37.889366,0.19893406,0.08672725
138.95898,37.892204,0.19400148,0.088931
138.96686,37.895054,0.18985169,0.08628458
138.97461,37.89779,0.18796758,0.0810898
138.98232,37.900387,0.18883732,0.07837918
138.98424,37.90102,0.18968312,0.07908495
138.53488,37.77155,0.005293159,-0.062503584
138.53517,37.769573,0.010634319,-0.05842923
138.53566,37.76774,0.013484561,-0.053464536
138.53627,37.766098,0.017558921,-0.04568048
138.53697,37.764782,0.016689245,-0.031945255
138.53763,37.763958,0.01512803,-0.014508125
138.53835,37.763718,0.021256002,0.004493555
138.53937,37.764122,0.03160718,0.025629692
138.54082,37.765186,0.042007558,0.044820562
138.54272,37.766872,0.054032497,0.06367642
138.54512,37.76913,0.06643322,0.07935228
138.54797,37.771812,0.07560409,0.08845264
138.5512,37.774788,0.0835713,0.09724443
138.55466,37.778046,0.08711873,0.106208086
138.55827,37.781567,0.09120079,0.112891175
138.56216,37.78529,0.10175708,0.11807737
138.56651,37.789196,0.11406128,0.124510676
138.57137,37.793327,0.12584421,0.13195772
138.5766,37.797676,0.13244857,0.13777146
138.58205,37.802223,0.13436538,0.14434834
138.58739,37.80698,0.12423619,0.14962313
138.59218,37.811924,0.105773844,0.15727916
138.59624,37.81716,0.08876126,0.16857727
138.59972,37.822765,0.07941679,0.17995301
138.60289,37.828716,0.074364446,0.18943444
138.60593,37.83495,0.07346108,0.19644696
138.60892,37.841293,0.073271535,0.19413456
138.61197,37.847622,0.07724426,0.1968942
138.61525,37.85405,0.08442556,0.19991703
138.61877,37.86054,0.08960226,0.19997855
138.62248,37.867004,0.09233485,0.1980505
138.62631,37.87334,0.09549388,0.1909469
138.6303,37.879383,0.10013797,0.17829475
138.63445,37.884937,0.10324455,0.15954252
138.63867,37.889874,0.104244746,0.13987301
138.64293,37.894165,0.10355865,0.12005698
138.64713,37.89784,0.100411326,0.10207722
138.65112,37.90095,0.09338242,0.085764155
138.65483,37.903606,0.0857271,0.075425304
138.6582,37.905975,0.07673466,0.06916873
138.66122,37.908165,0.06858567,0.06495489
138.66391,37.91017,0.060489025,0.056588218
138.66628,37.911877,0.054007202,0.04606069
138.66844,37.91327,0.051343247,0.03795509
138.67053,37.914433,0.05016153,0.032369137
138.67256,37.915485,0.048407286,0.032534648
138.67447,37.91662,0.04343069,0.03909053
138.67618,37.91793,0.039419666,0.04264276
138.67773,37.91926,0.03581026,0.03832392
138.67915,37.92035,0.03262243,0.02595435
138.6804,37.92107,0.026977848,0.016039051
138.68144,37.921482,0.022295747,0.006900189
138.68231,37.921543,0.019702608,-0.006452117
138.68306,37.921143,0.015892262,-0.02224577
